
NAME;ADRESS;PAYMENT;DATE
<<<<<<< HEAD
Justin;Quito;15; 24 nov 2022, 03:23:24 COT
NAME;ADRESS;PAYMENT;DATE
Sebastian;Sangolqui;5; 24 nov 2022, 07:26:40 ECT
NAME;ADRESS;PAYMENT;DATE
Sebastian;Sangolqui;14; 27 nov 2022, 21:08:07 ECT
=======
Mati;Guayaquil;15; 27 nov 2022, 22:25:37 COT
NAME;ADRESS;PAYMENT;DATE
Joshua;okdowkdk;44; 27 nov 2022, 22:27:56 COT
NAME;ADRESS;PAYMENT;DATE
Joshua;Banos;15; 27 nov 2022, 22:45:38 COT
NAME;ADRESS;PAYMENT;DATE
Roberto;Sangolqui;44; 27 nov 2022, 22:51:33 COT
NAME;ADRESS;PAYMENT;DATE
Gabriel;Jookoko;66; 27 nov 2022, 22:52:41 COT
NAME;ADRESS;PAYMENT;DATE
jefferson;0984665162;22.2; 27 nov 2022, 23:15:08 ECT
>>>>>>> 5365facd591205b47fed85fe968bab5f834a5193
